Undergraduate Major,Early Career Pay,Mid-Career Pay
Petroleum Engineering,93200.0,187300.0
Operations Research & Industrial Engineering,84800.0,187300.0
Electrical Engineering & Computer Science (EECS),108500.0,187300.0
Interaction Design,68300.0,187300.0
Public Accounting,59800.0,187300.0
Operations Research,83500.0,187300.0
Applied Economics and Management,66100.0,187300.0
Business Computing (BC),73000.0,187300.0
Actuarial Mathematics,64300.0,187300.0
Electrical Power Engineering,76100.0,187300.0
Information & Computer Science,58600.0,187300.0
Aeronautics & Astronautics,77600.0,187300.0
Systems Engineering,77700.0,187300.0
Econometrics,64200.0,187300.0
Pharmacy,68600.0,187300.0
Aerospace Studies,55800.0,187300.0
Building Science,53800.0,187300.0
Chemical Engineering,76900.0,187300.0
Cognitive Science,68700.0,187300.0
Actuarial Science,67700.0,187300.0
Political Economy,65100.0,187300.0
Computer Systems Engineering,79000.0,187300.0
Electrical & Computer Engineering (ECE),78100.0,187300.0
Computer Science (CS) & Engineering,79400.0,187300.0
Marine Engineering,79900.0,187300.0
Aeronautical Engineering,74700.0,131100.0
Computer Engineering (CE),79000.0,131100.0
Naval Architecture & Marine Engineering,74400.0,131100.0
Entrepreneurship & Marketing,51400.0,131100.0
Corporate Accounting & Finance,65200.0,131100.0
Mechatronics,72800.0,131100.0
Nuclear Engineering,76400.0,131100.0
Electrical Engineering (EE),75600.0,131100.0
Foreign Affairs,54800.0,131100.0
Marine Transportation Management,71100.0,131100.0
Mechanical & Aeronautical Engineering,70900.0,131100.0
Welding Engineering,81000.0,131100.0
Instrumentation & Control Engineering,73100.0,131100.0
Computational & Applied Mathematics,75500.0,131100.0
Electrical & Electronics Engineering (EEE),74700.0,131100.0
Aerospace Engineering,74300.0,131100.0
Astronomy,66600.0,131100.0
Optical Science & Engineering,71000.0,131100.0
Quantitative Business Analysis,74000.0,131100.0
Computer Science (CS) & Mathematics,70500.0,131100.0
Industrial & Systems Engineering,73100.0,131100.0
Economics and Mathematics,68200.0,131100.0
Biomedical Engineering (BME),71300.0,131100.0
Managerial Economics,65200.0,131100.0
Computer Science (CS),75100.0,131100.0
Physics & Astronomy,56500.0,123400.0
Petroleum Land Management,59300.0,123400.0
Bioscience,49200.0,123400.0
Electronics & Communications Engineering,67400.0,123400.0
Control Engineering,69700.0,123400.0
Pharmacology,57700.0,123400.0
Business Analysis,63200.0,123400.0
Aeronautical Science & Engineering,56000.0,123400.0
Metallurgical Engineering,81800.0,123400.0
Engineering Science,67900.0,123400.0
Applied Mathematics,68300.0,123400.0
Chemical & Biomolecular Engineering,76800.0,123400.0
Materials Science,67100.0,123400.0
Engineering,69900.0,123400.0
Ocean Engineering (OE),69400.0,123400.0
Bioengineering (BioE),70900.0,123400.0
Aeronautical/Aerospace Engineering Technology,76900.0,123400.0
Integrated Science & Technology,65200.0,123400.0
Operations Management & Information Systems,66100.0,123400.0
Software Engineering,75000.0,123400.0
Physics,65900.0,123400.0
Quantitative Economics,65000.0,123400.0
Computer & Information Science,63600.0,123400.0
Geophysics,58000.0,123400.0
Accounting & Economics,65900.0,123400.0
Physician Assistant Studies,95900.0,118500.0
Mining Engineering,78800.0,118500.0
Construction Engineering Management,68800.0,118500.0
Mechanical Engineering (ME),71000.0,118500.0
Materials Science & Engineering,72700.0,118500.0
Engineering Mechanics,75500.0,118500.0
Industrial Engineering (IE),71900.0,118500.0
International Business & Finance,61400.0,118500.0
Accounting & Computer Systems,63000.0,118500.0
Business & Information Technology (IT),60100.0,118500.0
Applied Physics,67300.0,118500.0
International Economics,58700.0,118500.0
Business & Economics,59600.0,118500.0
Ceramic Engineering,69200.0,118500.0
Economics,62000.0,118500.0
Pharmaceutical Sciences (PS),52800.0,118500.0
Telecommunications Engineering,66400.0,118500.0
Information & Decision Sciences,65200.0,118500.0
Materials Engineering,72300.0,118500.0
Paper Science,77000.0,118500.0
Asian Studies,47700.0,118500.0
Structural Engineering (SE),67800.0,118500.0
Industrial Distribution,63600.0,118500.0
Management Information Systems (MIS),65000.0,118500.0
Electronics Engineering,69600.0,118500.0
Finance & Economics,62600.0,113900.0
Medical Science,52000.0,113900.0
Japanese Studies,51500.0,113900.0
Automotive Engineering,67300.0,113900.0
Information Management,64300.0,113900.0
Management Science,64600.0,113900.0
Mechanical,70200.0,113900.0
Construction Engineering,67300.0,113900.0
Finance & Investments,64100.0,113900.0
Mathematics & Statistics,63100.0,113900.0
Information Systems Management,59200.0,113900.0
Construction Project Management,61100.0,113900.0
Engineering Management,69000.0,113900.0
Packaging Science,70000.0,113900.0
Industrial Engineering & Management,68300.0,113900.0
Engineering Physics,70500.0,113900.0
Energy Management,72300.0,113900.0
Aeronautical Science,57700.0,113900.0
Government,55100.0,113900.0
Software Applications & Programming,59300.0,113900.0
Astrophysics,69300.0,113900.0
Bioenvironmental Science,47700.0,113900.0
Japanese Language,53300.0,113900.0
Business Economics,58400.0,113900.0
Finance & Real Estate,63000.0,113900.0
Manufacturing Engineering,69300.0,110000.0
Atmospheric Science,48700.0,110000.0
Cybersecurity,65600.0,110000.0
Information Security & Assurance,61400.0,110000.0
Medicine,60600.0,110000.0
